genSrc,metro,city,cnt,capacity,areaCnt,areaCapacity,year
태양광,충남,홍성군,1,5.0,57,2382.78,2008
태양광,충북,괴산군,6,105.7,44,1433.94,2008
태양광,충북,보은군,1,28.8,44,1433.94,2008
태양광,충북,영동군,1,29.0,44,1433.94,2008
태양광,충북,옥천군,4,110.05,44,1433.94,2008
태양광,충북,음성군,4,123.08,44,1433.94,2008
태양광,충북,제천시,3,59.12,44,1433.94,2008
태양광,충북,증평군,2,40.4,44,1433.94,2008
태양광,충북,진천군,6,325.2,44,1433.94,2008
태양광,충북,청주시,14,538.19,44,1433.94,2008
태양광,충북,충주시,3,74.4,44,1433.94,2008
바이오,충남,청양군,1,60.0,1,60.0,2008
태양광,강원,강릉시,8,1384.14,49,4731.7,2009
태양광,강원,고성군,1,9.6,49,4731.7,2009
태양광,강원,삼척시,1,9.6,49,4731.7,2009
태양광,강원,속초시,2,19.8,49,4731.7,2009
태양광,강원,양구군,14,1222.02,49,4731.7,2009
태양광,강원,양양군,1,29.44,49,4731.7,2009
태양광,강원,영월군,3,1061.14,49,4731.7,2009
태양광,강원,원주시,3,48.4,49,4731.7,2009
태양광,강원,철원군,2,100.0,49,4731.7,2009
태양광,강원,춘천시,3,250.58,49,4731.7,2009
태양광,강원,태백시,1,55.2,49,4731.7,2009
태양광,강원,평창군,2,123.9,49,4731.7,2009
태양광,강원,홍천군,3,202.0,49,4731.7,2009
태양광,강원,화천군,3,47.88,49,4731.7,2009
태양광,강원,횡성군,2,168.0,49,4731.7,2009
태양광,경기,가평군,6,263.07,104,4874.39,2009
태양광,경기,고양시,4,109.55,104,4874.39,2009
태양광,경기,과천시,1,20.0,104,4874.39,2009
태양광,경기,광주시,1,10.0,104,4874.39,2009
태양광,경기,김포시,3,517.95,104,4874.39,2009
태양광,경기,남양주시,1,29.44,104,4874.39,2009
태양광,경기,부천시,2,33.0,104,4874.39,2009
태양광,경기,성남시,2,18.62,104,4874.39,2009
태양광,경기,수원시,2,32.0,104,4874.39,2009
태양광,경기,시흥시,7,392.22,104,4874.39,2009
태양광,경기,안산시,5,243.59,104,4874.39,2009
태양광,경기,안성시,9,195.36,104,4874.39,2009
태양광,경기,안양시,1,30.0,104,4874.39,2009
태양광,경기,양평군,1,29.4,104,4874.39,2009
태양광,경기,여주시,6,624.44,104,4874.39,2009
태양광,경기,연천군,3,118.66,104,4874.39,2009
태양광,경기,용인시,6,227.64,104,4874.39,2009
태양광,경기,의왕시,1,50.0,104,4874.39,2009
태양광,경기,이천시,2,38.4,104,4874.39,2009
태양광,경기,파주시,4,357.04,104,4874.39,2009
태양광,경기,평택시,25,788.14,104,4874.39,2009
태양광,경기,포천시,4,255.69,104,4874.39,2009
태양광,경기,하남시,2,75.08,104,4874.39,2009
태양광,경기,화성시,6,415.1,104,4874.39,2009
태양광,경남,거제시,1,19.2,63,4437.64,2009
태양광,경남,고성군,5,87.0,63,4437.64,2009
태양광,경남,김해시,3,247.6,63,4437.64,2009
태양광,경남,밀양시,3,327.08,63,4437.64,2009
태양광,경남,사천시,3,499.0,63,4437.64,2009
태양광,경남,산청군,6,307.43,63,4437.64,2009
태양광,경남,양산시,2,39.0,63,4437.64,2009
태양광,경남,의령군,1,98.5,63,4437.64,2009
태양광,경남,진주시,16,557.15,63,4437.64,2009
태양광,경남,창녕군,1,29.0,63,4437.64,2009
태양광,경남,창원시,7,199.5,63,4437.64,2009
태양광,경남,하동군,6,510.0,63,4437.64,2009
태양광,경남,함안군,1,99.0,63,4437.64,2009
태양광,경남,함양군,2,230.0,63,4437.64,2009
태양광,경남,합천군,6,1188.18,63,4437.64,2009
태양광,경북,경산시,3,397.08,178,16349.67,2009
태양광,경북,경주시,6,642.48,178,16349.67,2009
태양광,경북,고령군,2,299.2,178,16349.67,2009
태양광,경북,구미시,8,629.08,178,16349.67,2009
태양광,경북,군위군,1,30.0,178,16349.67,2009
태양광,경북,김천시,2,200.0,178,16349.67,2009
태양광,경북,문경시,2,295.0,178,16349.67,2009
태양광,경북,봉화군,11,1103.0,178,16349.67,2009
태양광,경북,상주시,33,1621.66,178,16349.67,2009
태양광,경북,성주군,4,98.64,178,16349.67,2009
태양광,경북,안동시,3,88.76,178,16349.67,2009
태양광,경북,영덕군,6,812.0,178,16349.67,2009
태양광,경북,영양군,5,632.79,178,16349.67,2009
태양광,경북,영주시,48,4642.06,178,16349.67,2009
태양광,경북,영천시,12,1387.29,178,16349.67,2009
태양광,경북,예천군,13,725.4,178,16349.67,2009
태양광,경북,의성군,7,1663.38,178,16349.67,2009
태양광,경북,청도군,2,128.65,178,16349.67,2009
태양광,경북,청송군,6,523.2,178,16349.67,2009
태양광,경북,칠곡군,1,200.0,178,16349.67,2009
태양광,경북,포항시,3,230.0,178,16349.67,2009
태양광,광주,광산구,4,221.17,7,270.43,2009
태양광,광주,동구,1,10.0,7,270.43,2009
태양광,광주,북구,2,39.26,7,270.43,2009
태양광,대구,달서구,4,334.65,14,553.51,2009
태양광,대구,동구,1,16.2,14,553.51,2009
태양광,대구,북구,6,55.2,14,553.51,2009
태양광,대구,수성구,3,147.46,14,553.51,2009
태양광,대전,대덕구,4,31.08,9,435.67,2009
태양광,대전,동구,1,3.06,9,435.67,2009
태양광,대전,서구,1,6.04,9,435.67,2009
태양광,대전,유성구,3,395.49,9,435.67,2009
태양광,부산,강서구,2,15.0,16,421.39,2009
태양광,부산,금정구,1,11.9,16,421.39,2009
태양광,부산,기장군,1,13.8,16,421.39,2009
태양광,부산,동구,1,26.0,16,421.39,2009
태양광,부산,동래구,2,31.3,16,421.39,2009
태양광,부산,사상구,2,129.22,16,421.39,2009
태양광,부산,사하구,4,143.89,16,421.39,2009
태양광,부산,수영구,1,30.0,16,421.39,2009
태양광,부산,연제구,1,15.0,16,421.39,2009
태양광,부산,중구,1,5.28,16,421.39,2009
태양광,서울,강남구,2,62.4,18,511.25,2009
태양광,서울,강동구,1,17.0,18,511.25,2009
태양광,서울,강서구,2,7.95,18,511.25,2009
태양광,서울,마포구,4,109.0,18,511.25,2009
태양광,서울,성북구,1,97.2,18,511.25,2009
태양광,서울,송파구,2,150.0,18,511.25,2009
태양광,서울,양천구,1,19.6,18,511.25,2009
태양광,서울,영등포구,1,29.1,18,511.25,2009
태양광,서울,용산구,2,13.0,18,511.25,2009
태양광,서울,종로구,2,6.0,18,511.25,2009
태양광,울산,남구,6,108.28,12,506.28,2009
태양광,울산,동구,1,30.0,12,506.28,2009
태양광,울산,북구,1,99.0,12,506.28,2009
태양광,울산,울주군,4,269.0,12,506.28,2009
태양광,인천,강화군,6,149.42,13,456.07,2009
태양광,인천,남구,2,33.44,13,456.07,2009
태양광,인천,서구,1,193.6,13,456.07,2009
태양광,인천,옹진군,2,22.8,13,456.07,2009
태양광,인천,중구,2,56.81,13,456.07,2009
태양광,전남,강진군,1,200.0,332,29480.85,2009
태양광,전남,고흥군,37,3955.09,332,29480.85,2009
태양광,전남,곡성군,2,383.48,332,29480.85,2009
태양광,전남,광양시,10,1232.52,332,29480.85,2009
태양광,전남,나주시,27,2135.79,332,29480.85,2009
태양광,전남,담양군,13,418.23,332,29480.85,2009
태양광,전남,목포시,4,203.0,332,29480.85,2009
태양광,전남,무안군,3,295.81,332,29480.85,2009
태양광,전남,보성군,21,2023.79,332,29480.85,2009
태양광,전남,순천시,10,2093.08,332,29480.85,2009
태양광,전남,여수시,14,678.01,332,29480.85,2009
태양광,전남,영광군,57,4967.9,332,29480.85,2009
태양광,전남,영암군,56,4814.19,332,29480.85,2009
태양광,전남,완도군,1,28.8,332,29480.85,2009
태양광,전남,장성군,9,533.3,332,29480.85,2009
태양광,전남,장흥군,5,592.0,332,29480.85,2009
태양광,전남,진도군,3,294.0,332,29480.85,2009
태양광,전남,함평군,22,1239.96,332,29480.85,2009
태양광,전남,해남군,31,2884.41,332,29480.85,2009
태양광,전남,화순군,6,507.49,332,29480.85,2009
태양광,전북,고창군,27,2886.0,294,24870.47,2009
태양광,전북,군산시,1,99.22,294,24870.47,2009
태양광,전북,김제시,58,4496.18,294,24870.47,2009
태양광,전북,남원시,58,4130.03,294,24870.47,2009
태양광,전북,무주군,4,151.44,294,24870.47,2009
태양광,전북,부안군,23,1690.0,294,24870.47,2009
태양광,전북,순창군,15,1319.52,294,24870.47,2009
태양광,전북,완주군,3,206.0,294,24870.47,2009
태양광,전북,익산시,30,3326.63,294,24870.47,2009
태양광,전북,임실군,8,452.2,294,24870.47,2009
태양광,전북,장수군,1,99.0,294,24870.47,2009
태양광,전북,전주시,9,293.0,294,24870.47,2009
태양광,전북,정읍시,55,5616.42,294,24870.47,2009
태양광,전북,진안군,2,104.83,294,24870.47,2009
태양광,제주,서귀포시,14,2341.5,32,3484.59,2009
태양광,제주,제주시,18,1143.09,32,3484.59,2009
태양광,충남,계룡시,2,34.92,102,5677.23,2009
태양광,충남,공주시,11,655.59,102,5677.23,2009
태양광,충남,논산시,21,644.5,102,5677.23,2009
태양광,충남,당진시,8,483.65,102,5677.23,2009
태양광,충남,보령시,4,371.74,102,5677.23,2009
태양광,충남,부여군,2,196.99,102,5677.23,2009
태양광,충남,서산시,4,410.0,102,5677.23,2009
태양광,충남,서천군,4,117.4,102,5677.23,2009
태양광,충남,아산시,8,252.62,102,5677.23,2009
태양광,충남,연기군,6,259.07,102,5677.23,2009
태양광,충남,예산군,13,778.14,102,5677.23,2009
태양광,충남,천안시,5,251.4,102,5677.23,2009
태양광,충남,청양군,2,298.0,102,5677.23,2009
태양광,충남,태안군,11,918.21,102,5677.23,2009
태양광,충남,홍성군,1,5.0,102,5677.23,2009
태양광,충북,괴산군,11,408.03,92,4495.16,2009
태양광,충북,보은군,8,347.73,92,4495.16,2009
태양광,충북,영동군,7,541.94,92,4495.16,2009
태양광,충북,옥천군,10,480.13,92,4495.16,2009
태양광,충북,음성군,9,560.47,92,4495.16,2009
태양광,충북,제천시,3,59.12,92,4495.16,2009
태양광,충북,증평군,5,348.53,92,4495.16,2009
태양광,충북,진천군,8,421.56,92,4495.16,2009
태양광,충북,청주시,27,1053.25,92,4495.16,2009
태양광,충북,충주시,4,274.4,92,4495.16,2009
바이오,전남,순천시,1,54.0,1,54.0,2009
바이오,충남,청양군,1,60.0,1,60.0,2009
태양광,강원,강릉시,12,2888.24,61,8213.94,2010
태양광,강원,고성군,4,1744.08,61,8213.94,2010
태양광,강원,삼척시,2,29.84,61,8213.94,2010
태양광,강원,속초시,2,19.8,61,8213.94,2010
태양광,강원,양구군,15,1271.7,61,8213.94,2010
태양광,강원,양양군,1,29.44,61,8213.94,2010
태양광,강원,영월군,2,1006.0,61,8213.94,2010
태양광,강원,원주시,4,147.4,61,8213.94,2010
태양광,강원,인제군,1,30.0,61,8213.94,2010
태양광,강원,철원군,3,170.0,61,8213.94,2010
태양광,강원,춘천시,3,250.58,61,8213.94,2010
태양광,강원,태백시,1,55.2,61,8213.94,2010
태양광,강원,평창군,3,153.78,61,8213.94,2010
태양광,강원,홍천군,3,202.0,61,8213.94,2010
태양광,강원,화천군,3,47.88,61,8213.94,2010
태양광,강원,횡성군,2,168.0,61,8213.94,2010
태양광,경기,가평군,6,263.07,116,5511.95,2010
태양광,경기,고양시,5,138.35,116,5511.95,2010
태양광,경기,과천시,1,20.0,116,5511.95,2010
태양광,경기,광주시,2,28.0,116,5511.95,2010
태양광,경기,김포시,5,597.08,116,5511.95,2010
태양광,경기,남양주시,2,107.7,116,5511.95,2010
태양광,경기,부천시,2,33.0,116,5511.95,2010
태양광,경기,성남시,2,18.62,116,5511.95,2010
태양광,경기,수원시,2,32.0,116,5511.95,2010
태양광,경기,시흥시,7,392.22,116,5511.95,2010
태양광,경기,안산시,5,243.59,116,5511.95,2010
태양광,경기,안성시,9,195.36,116,5511.95,2010
태양광,경기,안양시,1,30.0,116,5511.95,2010
태양광,경기,양평군,1,29.4,116,5511.95,2010
태양광,경기,여주시,8,884.44,116,5511.95,2010
태양광,경기,연천군,3,118.66,116,5511.95,2010
태양광,경기,용인시,6,227.64,116,5511.95,2010
태양광,경기,의왕시,1,50.0,116,5511.95,2010
태양광,경기,이천시,2,38.4,116,5511.95,2010
태양광,경기,파주시,6,412.3,116,5511.95,2010
태양광,경기,평택시,25,788.14,116,5511.95,2010
태양광,경기,포천시,4,255.69,116,5511.95,2010
태양광,경기,하남시,2,75.08,116,5511.95,2010
태양광,경기,화성시,9,533.21,116,5511.95,2010
태양광,경남,거제시,2,94.2,92,11561.96,2010
태양광,경남,거창군,1,963.2,92,11561.96,2010
태양광,경남,고성군,7,358.0,92,11561.96,2010
태양광,경남,김해시,4,345.6,92,11561.96,2010
태양광,경남,밀양시,4,423.88,92,11561.96,2010
태양광,경남,사천시,4,598.0,92,11561.96,2010
태양광,경남,산청군,8,800.03,92,11561.96,2010
태양광,경남,양산시,3,1023.0,92,11561.96,2010
태양광,경남,의령군,2,296.5,92,11561.96,2010
태양광,경남,진주시,19,1777.15,92,11561.96,2010
태양광,경남,창녕군,10,1829.0,92,11561.96,2010
태양광,경남,창원시,7,199.5,92,11561.96,2010
태양광,경남,하동군,10,1098.0,92,11561.96,2010
태양광,경남,함안군,1,99.0,92,11561.96,2010
태양광,경남,함양군,2,230.0,92,11561.96,2010
태양광,경남,합천군,8,1426.9,92,11561.96,2010
태양광,경북,경산시,3,397.08,234,39714.7,2010
태양광,경북,경주시,7,671.66,234,39714.7,2010
태양광,경북,고령군,2,299.2,234,39714.7,2010
태양광,경북,구미시,9,1617.08,234,39714.7,2010
태양광,경북,군위군,2,1020.0,234,39714.7,2010
태양광,경북,김천시,2,200.0,234,39714.7,2010
태양광,경북,문경시,3,298.0,234,39714.7,2010
태양광,경북,봉화군,19,7344.51,234,39714.7,2010
태양광,경북,상주시,36,2041.47,234,39714.7,2010
태양광,경북,성주군,5,191.04,234,39714.7,2010
태양광,경북,안동시,7,1868.64,234,39714.7,2010
태양광,경북,영덕군,9,3527.5,234,39714.7,2010
태양광,경북,영양군,9,2006.14,234,39714.7,2010
태양광,경북,영주시,51,5581.06,234,39714.7,2010
태양광,경북,영천시,13,1887.09,234,39714.7,2010
태양광,경북,예천군,27,2348.6,234,39714.7,2010
태양광,경북,의성군,15,5770.12,234,39714.7,2010
태양광,경북,청도군,2,128.65,234,39714.7,2010
태양광,경북,청송군,8,2076.2,234,39714.7,2010
태양광,경북,칠곡군,2,210.66,234,39714.7,2010
태양광,경북,포항시,3,230.0,234,39714.7,2010
태양광,광주,광산구,5,268.78,12,634.84,2010
태양광,광주,동구,1,10.0,12,634.84,2010
태양광,광주,북구,4,243.26,12,634.84,2010
태양광,광주,서구,2,112.8,12,634.84,2010
태양광,대구,달서구,5,433.65,17,745.97,2010
태양광,대구,달성군,1,10.66,17,745.97,2010
태양광,대구,동구,1,16.2,17,745.97,2010
태양광,대구,북구,7,138.0,17,745.97,2010
태양광,대구,수성구,3,147.46,17,745.97,2010
태양광,대전,대덕구,4,31.08,12,555.13,2010
태양광,대전,동구,2,25.14,12,555.13,2010
태양광,대전,서구,1,6.04,12,555.13,2010
태양광,대전,유성구,3,426.09,12,555.13,2010
태양광,대전,중구,2,66.78,12,555.13,2010
태양광,부산,강서구,3,99.18,19,644.17,2010
태양광,부산,금정구,1,11.9,19,644.17,2010
태양광,부산,기장군,2,103.8,19,644.17,2010
태양광,부산,동구,1,26.0,19,644.17,2010
태양광,부산,동래구,3,79.9,19,644.17,2010
태양광,부산,사상구,2,129.22,19,644.17,2010
태양광,부산,사하구,4,143.89,19,644.17,2010
태양광,부산,수영구,1,30.0,19,644.17,2010
태양광,부산,연제구,1,15.0,19,644.17,2010
태양광,부산,중구,1,5.28,19,644.17,2010
태양광,서울,강남구,3,71.4,22,577.65,2010
태양광,서울,강동구,1,17.0,22,577.65,2010
태양광,서울,강서구,2,7.95,22,577.65,2010
태양광,서울,마포구,5,128.0,22,577.65,2010
태양광,서울,서대문구,1,19.2,22,577.65,2010
태양광,서울,성북구,1,97.2,22,577.65,2010
태양광,서울,송파구,2,150.0,22,577.65,2010
태양광,서울,양천구,1,19.6,22,577.65,2010
태양광,서울,영등포구,1,29.1,22,577.65,2010
태양광,서울,용산구,2,13.0,22,577.65,2010
태양광,서울,은평구,1,19.2,22,577.65,2010
태양광,서울,종로구,2,6.0,22,577.65,2010
태양광,울산,남구,10,226.0,18,704.0,2010
태양광,울산,동구,1,30.0,18,704.0,2010
태양광,울산,북구,1,99.0,18,704.0,2010
태양광,울산,울주군,5,299.0,18,704.0,2010
태양광,울산,중구,1,50.0,18,704.0,2010
태양광,인천,강화군,7,158.07,17,574.22,2010
태양광,인천,남구,2,33.44,17,574.22,2010
태양광,인천,남동구,1,49.68,17,574.22,2010
태양광,인천,서구,1,193.6,17,574.22,2010
태양광,인천,옹진군,3,52.8,17,574.22,2010
태양광,인천,중구,3,86.63,17,574.22,2010
