year,metro,city,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10,면적,필지,h_m
2021.0,강원,고성군,소수력,180.0,1.0,27249.0,1354.0,1588.0,2678.0,2379.0,3077.0,4797.0,5651.0,3408.0,1981.0,327.0,9.0,661099299.8000001,99483,0.04121771117930928
2021.0,강원,고성군,태양광,88189.31,465.0,27249.0,1354.0,1588.0,2678.0,2379.0,3077.0,4797.0,5651.0,3408.0,1981.0,327.0,9.0,661099299.8000001,99483,0.04121771117930928
2012.0,강원,동해시,태양광,15.0,1.0,93897.0,8317.0,12269.0,10068.0,13359.0,15737.0,15757.0,9290.0,6702.0,2145.0,236.0,17.0,180195361.60000002,57356,0.5210844450504434
2013.0,강원,동해시,태양광,211.0,3.0,95143.0,8484.0,11972.0,10336.0,13079.0,16132.0,15955.0,9640.0,6972.0,2270.0,281.0,22.0,180195361.60000002,57356,0.5279991624379303
2014.0,강원,동해시,태양광,1104.29,14.0,94562.0,8330.0,11457.0,10112.0,12396.0,16259.0,15992.0,10001.0,7224.0,2441.0,325.0,25.0,180195361.60000002,57356,0.5247748841055628
2015.0,강원,동해시,태양광,1759.93,17.0,93895.0,8142.0,10931.0,9787.0,12042.0,16167.0,15840.0,10633.0,7347.0,2622.0,359.0,25.0,180195361.60000002,57356,0.5210733459856159
2016.0,강원,동해시,태양광,2253.93,22.0,93297.0,7981.0,10416.0,9710.0,11554.0,15973.0,15884.0,11150.0,7399.0,2835.0,368.0,27.0,180195361.60000002,57356,0.5177547256022154
2017.0,강원,동해시,태양광,2516.0,26.0,92851.0,7651.0,9948.0,9944.0,10927.0,15792.0,15753.0,11722.0,7641.0,3049.0,394.0,30.0,180195361.60000002,57356,0.5152796341456992
2018.0,강원,동해시,태양광,3895.41,41.0,91272.0,7306.0,9471.0,9631.0,10095.0,15236.0,15721.0,12189.0,7909.0,3258.0,430.0,26.0,180195361.60000002,57356,0.5065169224644459
2019.0,강원,동해시,태양광,6075.41,56.0,90522.0,6876.0,9084.0,9437.0,9555.0,14897.0,15706.0,12961.0,7982.0,3530.0,465.0,29.0,180195361.60000002,57356,0.5023547731541609
2020.0,강원,동해시,태양광,6662.0,62.0,90593.0,6625.0,8817.0,9419.0,9233.0,14569.0,15638.0,13905.0,8082.0,3750.0,524.0,31.0,180195361.60000002,57356,0.5027487899555345
2021.0,강원,동해시,태양광,7234.84,72.0,90081.0,6272.0,8535.0,9361.0,8677.0,14228.0,15731.0,14679.0,7994.0,4008.0,584.0,12.0,180195361.60000002,57356,0.4999074293597132
2012.0,강원,삼척시,태양광,212.32,6.0,72463.0,4984.0,8393.0,9504.0,8785.0,10677.0,12359.0,8178.0,6861.0,2421.0,274.0,27.0,1186532912.1999996,146154,0.061071209449760105
2013.0,강원,삼척시,태양광,388.57,11.0,73023.0,4832.0,8121.0,9934.0,8539.0,10811.0,12498.0,8281.0,7062.0,2595.0,322.0,28.0,1186532912.1999996,146154,0.06154317275919893
2014.0,강원,삼척시,태양광,604.57,15.0,72314.0,4816.0,7856.0,9550.0,8044.0,10783.0,12442.0,8510.0,7097.0,2842.0,341.0,33.0,1186532912.1999996,146154,0.06094563349778442
2015.0,강원,삼척시,태양광,1298.05,23.0,70839.0,4748.0,7241.0,9002.0,7553.0,10557.0,12312.0,8915.0,7035.0,3048.0,392.0,36.0,1186532912.1999996,146154,0.05970251585238751
2016.0,강원,삼척시,태양광,1771.05,27.0,69599.0,4609.0,6775.0,8696.0,7127.0,10224.0,12211.0,9296.0,7020.0,3181.0,421.0,39.0,1186532912.1999996,146154,0.05865745423863011
2017.0,강원,삼척시,태양광,8493.0,54.0,68514.0,4366.0,6455.0,8499.0,6738.0,9893.0,11954.0,9689.0,7078.0,3353.0,449.0,40.0,1186532912.1999996,146154,0.05774302532659239
