year,metro,genSrc,capacity,cnt,all,0,1,2,3,4,5,6,7,8,9,10
2016,경기,태양광,92766.76,1312,12605217,1242065,1428171,1674929,1942418,2295201,2006289,1096197,630668,251144,34871,3264
2016,경남,바이오,2810.0,5,663776,66062,74658,82434,95122,115598,106418,66879,38891,15680,1918,116
2016,경남,태양광,164370.48,1208,3373871,315476,367662,397368,466247,574855,561503,360856,218363,99237,11665,639
2016,경남,폐기물,673.0,3,1167456,104391,127891,151356,163588,198053,202922,123629,64752,27378,3285,211
2016,경남,풍력,26.0,2,113604,6423,9190,10648,10098,15014,20855,17780,14873,7823,862,38
2016,경북,소수력,1349.0,5,319287,20749,29268,28909,29880,43896,56940,49368,38284,19146,2664,183
2016,경북,연료전지,300.0,1,516775,46236,55081,61496,69380,85333,93256,62383,30109,11876,1537,88
2016,경북,태양광,280143.33,1976,2690397,221780,264012,307256,338525,420416,457840,334680,224786,106983,13316,803
2016,경북,폐기물,330.0,2,168404,15453,15946,20031,24764,27107,26829,18543,12635,6241,791,64
2016,광주,바이오,20.0,1,403049,49608,59203,52100,64395,78613,53163,24391,14771,5929,825,51
2016,광주,태양광,45537.869999999995,398,1469214,140957,187604,201402,213395,255953,222914,132868,79294,30370,4102,355
2016,대구,태양광,10253.67,120,2404845,201413,268282,318944,322041,419824,409735,259689,143272,55100,6040,505
2016,대전,매립지가스(LFG),99.0,1,192688,15631,22510,26920,25216,34287,33737,19424,10454,4020,462,27
2016,대전,태양광,3896.0,89,1514370,142076,175916,212796,222879,264265,239111,143650,77775,31484,4110,308
2016,부산,소수력,55.0,1,244624,15550,22469,35571,30231,37014,44907,33421,17967,6503,821,170
2016,부산,태양광,18822.68,152,3498529,267087,325210,455199,483516,558328,610400,454451,246583,85833,10337,1585
2016,서울,소수력,400.0,3,996482,81485,86597,149251,177222,159821,153170,108140,56895,20366,3083,452
2016,서울,태양광,12190.51,238,9930616,761314,934205,1442701,1620974,1678172,1570037,1076270,602541,207716,31211,5475
2016,세종,태양광,14594.6,118,486096,69822,54250,53046,91902,88376,58880,36318,21586,10438,1380,98
2016,울산,태양광,8814.17,87,1172304,115921,132712,158704,177144,206835,205095,108980,47361,17214,2200,138
2016,인천,태양광,12656.95,153,2454952,230059,267092,341282,375508,432426,420587,218569,114699,47376,6831,523
2016,전남,바이오,640.0,1,47229,2766,3605,4828,4382,6209,8440,7067,6383,3060,467,22
2016,전남,소수력,160.0,3,378445,32205,43730,45471,44452,60215,63239,41374,31209,14475,1981,94
2016,전남,태양광,518380.92,4415,1903914,156736,199894,206423,219492,286240,314488,231176,189990,87370,11346,759
2016,전남,해양에너지,110.0,1,32078,2073,2704,2668,2770,3975,5443,4792,5173,2209,259,12
2016,전북,바이오,650.0,4,263552,17236,25214,25783,24722,36543,43968,37403,32920,17484,2091,188
2016,전북,소수력,209.0,3,90546,5460,8286,8397,7878,11677,14976,13364,13122,6484,841,61
2016,전북,태양광,637605.98,6317,1864791,157372,207621,219336,225651,295584,299275,218693,155956,75319,9287,697
2016,전북,폐기물,160.0,1,651744,60677,83381,89156,88492,112244,100452,63383,36669,15287,1875,128
2016,제주,바이오,99.0,1,470665,49174,57746,58001,66183,83716,72219,42206,26778,12362,2126,154
2016,제주,태양광,4392.21,45,641597,64258,75741,76573,86909,112430,100948,61974,40694,18738,3101,231
2016,제주,풍력,99.4,1,470665,49174,57746,58001,66183,83716,72219,42206,26778,12362,2126,154
2016,충남,바이오,660.0,2,155966,10417,14743,16106,15522,21742,26713,22424,17427,9678,1102,92
2016,충남,소수력,1470.0,4,611354,59195,62835,66801,86168,96370,93382,69147,49441,24837,2942,236
2016,충남,태양광,264517.64,2269,2096727,197206,222359,246298,294535,335721,324122,225825,158809,81086,10028,738
2016,충남,폐기물,440.0,1,103873,7560,10039,10407,11497,15551,17812,14854,10414,5063,632,44
2016,충북,매립지가스(LFG),95.0,1,208350,16349,22244,24445,24912,34119,36856,23922,17123,7432,885,63
2016,충북,바이오,750.0,1,835197,84465,98008,116867,127170,143842,128835,72651,42249,18594,2354,162
2016,충북,태양광,119816.46,1395,1591625,141545,171795,198134,212590,259637,264834,170236,114117,51888,6378,471
2016,충북,폐기물,1260.0,2,306137,24580,31586,34786,37434,49932,54585,35377,25148,11253,1349,107
2017,강원,바이오,1780.0,2,621851,53120,68966,80281,81660,103995,104388,64559,42892,19032,2763,195
2017,강원,소수력,1863.0,5,357499,25289,34936,43765,38998,53700,62478,47591,33953,14402,2213,174
2017,강원,태양광,196297.24,1560,1550142,116726,156946,185914,180188,242216,270839,194407,135621,57862,8726,697
2017,강원,폐기물,1378.0,3,128161,9538,13050,13429,14745,20992,23097,17119,11162,4299,658,72
2017,강원,풍력,179.0,2,284292,19533,28257,32203,30737,44064,50687,38914,26432,11566,1777,122
2017,경기,바이오,1200.0,3,258573,24996,27921,33285,36571,41134,41292,26882,17385,7917,1102,88
2017,경기,소수력,405.0,2,382828,34128,40728,48997,54255,66362,64376,39160,23340,10069,1306,107
2017,경기,연료전지,440.0,1,152925,10982,15084,18595,16706,24024,30244,19163,12103,5217,742,65
2017,경기,태양광,151947.71,1845,12761911,1217908,1399746,1709191,1921925,2296669,2057827,1177417,667515,272238,38143,3332
2017,경기,폐기물,909.0,1,392092,48479,41534,42123,65819,71470,56632,36420,20585,7882,1099,49
2017,경남,바이오,1870.0,3,685216,67664,73812,85428,97791,117157,110570,72388,41260,16883,2140,123
2017,경남,소수력,99.0,1,48831,2408,3715,4542,3666,6333,9070,8033,6603,3899,544,18
2017,경남,태양광,223312.28,1565,3380404,307415,356902,397268,454065,566645,569852,383935,225324,105518,12827,653
2017,경남,폐기물,673.0,3,1159970,100750,122546,149500,158421,193078,204151,131215,67327,29209,3544,229
2017,경남,풍력,6.0,1,48831,2408,3715,4542,3666,6333,9070,8033,6603,3899,544,18
2017,경북,소수력,1599.0,6,366845,23316,32154,33312,33470,49582,65029,58445,44313,23679,3360,185
2017,경북,태양광,403163.71,2674,2681731,214969,253810,304367,328034,412693,459399,350523,229074,113344,14711,807
2017,경북,폐기물,330.0,2,166002,14390,15458,18838,23309,26968,27221,19432,12870,6575,883,58
2017,광주,바이오,20.0,1,404131,47237,57907,53786,61839,78849,55802,25877,15470,6438,873,53
2017,광주,태양광,71733.56999999999,530,1463770,135873,179807,203610,205522,253204,225935,138675,83744,32556,4499,345
2017,대구,태양광,23055.03,171,2396245,195359,256043,321133,312571,409470,412456,272546,149941,59520,6677,529
2017,대전,매립지가스(LFG),99.0,1,186902,14256,20790,26404,23417,32388,33444,20474,10873,4294,527,35
2017,대전,태양광,9574.619999999999,153,1502227,135218,168005,213973,215284,258705,239297,152044,81244,33602,4541,314
2017,부산,소수력,65.0,2,515196,35279,48602,70037,64256,80307,90767,71803,38416,13664,1766,299
2017,부산,태양광,22479.27,180,3470653,258732,310044,451791,467624,545052,599544,472617,259903,92153,11579,1614
2017,서울,소수력,416.0,5,936179,68128,73866,144508,156102,150218,149881,105814,62761,21351,2951,599
2017,서울,태양광,20471.739999999998,291,9857426,728462,894656,1447115,1579189,1647989,1553543,1109052,635309,223113,33479,5519
2017,세종,태양광,24152.6,166,560200,80344,64126,60532,104814,104240,67342,42200,23420,11536,1548,98
2017,울산,태양광,12661.17,103,1165132,112441,126894,156966,171065,201695,207642,116984,50444,18430,2418,153
2017,인천,태양광,20832.55,210,2459788,221674,258967,343763,366366,427419,425662,235462,121906,50545,7463,561
2017,전남,바이오,640.0,1,47285,2724,3412,4875,4242,6109,8423,7232,6536,3236,471,25
2017,전남,소수력,80.0,2,99394,6289,7671,9024,9259,12772,17080,15175,14390,6789,898,47
2017,전남,태양광,640268.1900000001,5140,1896424,151229,191645,207412,212235,281291,316532,237209,192849,93150,12133,739
2017,전남,폐기물,480.0,1,82872,8057,9186,7936,10713,13054,12421,9623,7869,3554,428,31
2017,전북,바이오,650.0,4,261174,16493,24113,25418,23598,35781,43565,38011,33429,18247,2352,167
2017,전북,소수력,289.0,4,186145,14474,17038,17889,19967,26000,30060,25647,22113,11333,1540,84
2017,전북,연료전지,420.0,1,95975,9180,9101,9593,12312,14476,15195,12108,8847,4500,629,34
2017,전북,태양광,791878.03,7447,1854607,150817,199956,219942,215957,291298,300220,224916,160990,79365,10440,706
2017,전북,폐기물,320.0,1,648964,58489,79858,89997,85393,111027,101531,65437,38612,16386,2099,135
2017,제주,태양광,4867.21,49,657083,64110,74873,79751,87312,114469,104866,65842,42296,20100,3222,242
2017,제주,풍력,99.4,1,478700,48487,56923,59806,65876,84570,74728,44927,27821,13206,2197,159
2017,충남,바이오,1100.0,3,155077,10085,14112,15856,14978,21192,26741,23201,17340,10246,1243,83
2017,충남,소수력,1470.0,4,617229,58307,61945,66695,85494,97250,95028,72095,50296,26615,3265,239
2017,충남,태양광,372216.25,2949,2116770,193878,218457,248359,292363,336528,330207,237184,161824,86297,10919,754
2017,충남,폐기물,440.0,1,103198,7302,9598,10231,11131,15177,17750,15257,10658,5343,703,48
2017,충남,풍력,20.0,1,171678,16696,18663,19320,23262,27996,26635,18518,12705,6895,931,57
2017,충북,바이오,845.0,2,1043906,97510,115767,142292,148500,175545,168043,103560,61090,27802,3567,230
2017,충북,태양광,168027.0,1769,1594432,137206,165826,199663,207682,255596,267036,182281,116357,55312,6996,477
2017,충북,폐기물,1260.0,2,305622,23641,30283,34378,36384,49003,54990,37767,25609,12007,1447,113
2018,강원,바이오,2670.0,3,624710,51671,66767,80885,80828,101545,106097,69877,43147,20600,3105,188
2018,강원,소수력,2223.0,7,405955,27637,37336,49756,43031,57787,71233,58046,39937,18128,2851,213
2018,강원,연료전지,96.0,1,42610,2212,3377,3660,3650,5860,8612,7542,5126,2214,322,35
2018,강원,태양광,368186.32999999996,2478,1543052,112664,150060,182891,175578,233996,271635,207147,136550,62323,9497,711
2018,강원,폐기물,988.0,2,126540,9165,12523,13015,14048,20030,23044,17940,11409,4561,730,75
2018,강원,풍력,179.0,2,282906,18913,26736,31843,29860,42435,50591,41280,26715,12504,1901,128
2018,경기,바이오,700.0,2,258839,23883,27043,33712,35812,40434,41837,28686,17712,8465,1160,95
2018,경기,소수력,405.0,2,387132,33447,39295,49749,54337,65106,66293,42360,24205,10820,1411,109
